Sim	log_M_12	log_M_21	log_N1	log_N2	no_loci	theta	fraction_N1	fraction_N2	M_12	M_21	tW.pop1	tP.pop1	Tajima.pop1	tW.pop2	tP.pop2	Tajima.pop2	singletons.pop1	doubletons.pop1	singletons.pop2	doubletons.pop2	pop1.pop2.fst
38	-0.737206	1.4867	4.85952	5.67175	1	1	7.23634	46.9621	0.183145	30.6688	3.48064	3.37525	-0.05648	2.98995	3.462	0.344168	8.96022	2.0329	1.35426	9.7042	0.012008
39	0.942306	3.98963	2.90615	4.78433	1	1	0.0805652	6.08592	8.756	9764.04	0	0	0	0	0	0	0	0	0	0	nan
40	-2.41126	1.59759	6.11593	5.38965	1	1	130.596	24.5275	0.00387917	39.5904	35.1481	23.4326	-0.670897	74.7353	46.7599	-0.88331	125.528	36.2207	257.839	10.7091	-0.0026
41	3.37107	-2.87287	5.82993	4.27815	1	1	67.5982	1.89738	2350.03	0.00134009	0.943546	1.49211	0.909793	1.00101	1.29927	0.568943	1.04696	0	1.04583	0	-0.00565
42	-3.42728	0.0499517	4.28684	2.97462	1	1	1.93571	0.0943231	0.000373869	1.12189	0.809524	0.746423	-0.118072	0	0	0	1.04779	1.99806	0	0	0.916695
43	0.362612	3.22452	4.00401	4.58879	1	1	1.00927	3.87964	2.30469	1676.96	0.401771	0.570705	0.528834	0.732703	0.597055	-0.332813	0	1.00066	2.41062	1.01473	0.140402
44	2.71487	1.3097	4.86751	2.1458	1	1	7.37069	0.0139896	518.639	20.4031	0	0	0	0	0	0	0	0	0	0	nan
45	-2.59622	2.98901	3.11029	5.60926	1	1	0.128911	40.669	0.00253384	975.021	0.133894	0.259058	0.786678	0.337964	0.329192	-0.038159	0	0	1.04122	0	0.020655
46	0.248382	-3.61502	3.50479	5.70943	1	1	0.319732	51.2189	1.77167	0.000242649	3.48138	3.91585	0.232808	27.9555	19.8904	-0.676734	0	0	99.5876	9.69477	0.288082
47	2.62702	-2.44805	6.14775	2.36176	1	1	140.523	0.0230019	423.667	0.00356406	0	0	0	0	0	0	0	0	0	0	nan
48	-0.510157	1.36417	5.23045	2.13159	1	1	17	0.0135393	0.308918	23.1299	11.3408	11.7896	0.078192	1.15899	1.90909	1.26635	12.4143	22.0275	0	0	0.202985
49	3.28844	-3.44834	3.21353	2.47046	1	1	0.163503	0.0295435	1942.87	0.00035617	0	0	0	0	0	0	0	0	0	0	nan
50	2.92706	-0.775052	2.47447	3.63206	1	1	0.0298173	0.428604	845.394	0.16786	0	0	0	0	0	0	0	0	0	0	nan
